,pca,corr,ridge,anova,kruskal,rf,mi,mrmr
T1D,0.581,0.857,0.806,0.857,0.869,0.817,0.929,0.834
LC,0.648,0.881,0.858,0.881,0.891,0.881,0.912,0.885
CRC,0.629,0.736,0.665,0.736,0.740,0.745,0.732,0.727
