,pca,corr,ridge,anova,kruskal,rf,mi,mrmr
T1D,0.669,0.891,0.731,0.891,0.818,0.778,0.753,0.949
LC,0.616,0.805,0.816,0.805,0.822,0.818,0.809,0.846
CRC,0.524,0.686,0.683,0.686,0.637,0.633,0.614,0.709
