,pca,corr,ridge,anova,kruskal,rf,mi,mrmr
T1D,0.801,0.920,0.901,0.911,0.853,0.821,0.855,0.920
LC,0.870,0.895,0.883,0.897,0.879,0.879,0.895,0.903
CRC,0.676,0.701,0.733,0.694,0.698,0.673,0.669,0.722
