,pca,corr,ridge,anova,kruskal,rf,mi,mrmr
T1D,0.7307854182854183,0.6791998837673896,0.7341220193784469,0.6791998837673896,0.7427992198196802,0.6949748007983303,0.7298288794856301,0.7440738209159263
LC,0.7053159052852109,0.7254429775662592,0.779816807121323,0.7254429775662592,0.6801219782152153,0.6793228766877174,0.6885579172848475,0.7406806727305113
CRC,0.5841321695128275,0.5791047757469042,0.6371035846229625,0.5791047757469042,0.5646690383241316,0.55944006014379,0.5530535933603482,0.5802621723832057
