msp,phylum,class,order,family,genus,species
msp_1891,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,unclassified Blautia
msp_1892,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
msp_1893,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,unclassified Clostridiales
msp_1894,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,unclassified Clostridiales
msp_1895,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,unclassified Muribaculaceae,unclassified Muribaculaceae
msp_1896,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
msp_1897,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales 2,unclassified Clostridiales 2,unclassified Clostridiales 2
msp_1898,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
msp_1899,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales 3,unclassified Clostridiales 3,unclassified Clostridiales 3
msp_1900,Tenericutes,Tenericutes 2,Anaeroplasmatales,Anaeroplasmataceae,unclassified_Anaeroplasmataceae,unclassified_Anaeroplasmataceae
