msp,phylum,class,order,family,genus,species
msp_1689,Firmicutes,Tissierellia 3,unclassified Tissierellia 3,Clostridiales Family XIII. Incertae Sedis,unclassified Clostridiales Family XIII. Incertae Sedis,unclassified Clostridiales Family XIII. Incertae Sedis
msp_1690,Verrucomicrobia,Opitutae,unclassified Opitutae,unclassified Opitutae,unclassified Opitutae,unclassified Opitutae
msp_1691,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,unclassified Phascolarctobacterium
msp_1692,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,unclassified Muribaculaceae,unclassified Muribaculaceae
msp_1693,Firmicutes,Negativicutes 2,unclassified Negativicutes 2,unclassified Negativicutes 2,unclassified Negativicutes 2,unclassified Negativicutes 2
msp_1695,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales 2,unclassified Clostridiales 2,unclassified Clostridiales 2
msp_1696c,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio desulfuricans 2
msp_1697,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus avium
msp_1698,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium sp. An14
msp_1699,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales 5,unclassified Clostridiales 5,unclassified Clostridiales 5
msp_1700,Tenericutes,Mollicutes 2,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,unclassified_Erysipelatoclostridium
msp_1701c,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,Olsenella mediterranea
msp_1702,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus australis
msp_1703,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales 6,Lawsonibacter,unclassified Lawsonibacter
msp_1704c,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus asini
msp_1705,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified Ruminococcaceae,unclassified Ruminococcaceae
msp_1706,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,unclassified Sutterella
msp_1707,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales 1,unclassified Clostridiales 1,unclassified Clostridiales 1
msp_1708,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified Lachnospiraceae,unclassified Lachnospiraceae
msp_1709,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales 1,unclassified Clostridiales 1,unclassified Clostridiales 1
msp_1710,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales 1,unclassified Clostridiales 1,unclassified Clostridiales 1
msp_1711,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,unclassified Roseburia
msp_1712,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales 3,unclassified Clostridiales 3,unclassified Clostridiales 3
msp_1713,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified Lachnospiraceae,unclassified Lachnospiraceae
msp_1714,Synergistetes,Synergistia,Synergistales,Synergistaceae,Cloacibacillus,Cloacibacillus evryensis
msp_1715,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Gemmiger,unclassified Gemmiger
msp_1716,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,unclassified Roseburia
